date,transfers,mint_count,burn_count,mint_volume,burn_volume,p2p_volume,issuance_count,issuance_volume,redemption_count,redemption_volume,internal_count,internal_volume,transfer_count,transfer_volume,unique_senders,unique_receivers,active_addresses,new_addresses,zeroed_addresses,resurrected_addresses,holders_gt0,circulating_supply,mean_balance,median_balance,gini,top10_share,top100_share,unique_senders_ex_hub,unique_receivers_ex_hub,active_addresses_ex_hub,new_addresses_ex_hub,zeroed_addresses_ex_hub,resurrected_addresses_ex_hub,holders_gt0_ex_hub,circulating_supply_ex_hub,mean_balance_ex_hub,median_balance_ex_hub,gini_ex_hub,top10_share_ex_hub,top100_share_ex_hub,holders_ge1,holders_ge1_ex_hub,holders_ge100,holders_ge100_ex_hub,holders_ge1000,holders_ge1000_ex_hub,holders_ge10000,holders_ge10000_ex_hub,n_lt_1k,val_lt_1k,n_lt_1k_ex_hub,val_lt_1k_ex_hub,n_1k_10k,val_1k_10k,n_1k_10k_ex_hub,val_1k_10k_ex_hub,n_10k_100k,val_10k_100k,n_10k_100k_ex_hub,val_10k_100k_ex_hub,n_100k_1m,val_100k_1m,n_100k_1m_ex_hub,val_100k_1m_ex_hub,n_ge_1m,val_ge_1m,n_ge_1m_ex_hub,val_ge_1m_ex_hub,share_holders_lt10k,share_holders_lt10k_ex_hub,cumulative_adopters,cumulative_adopters_ex_hub,cumulative_adopters_event,cumulative_adopters_event_ex_hub
2026-07-11,1142,0,0,0.0,0.0,57396244.55311017,49,23544593.0,10,5126900.0,0,0.0,1083,28724751.553110164,331,317,353,8,32,0,4582,1437111296.8501961,313642.7972174151,20.5,0.9996276174740405,0.9943482576885683,0.999523890546371,331,317,353,8,32,0,4581,1437100492.9737315,313708.90481854,20.0,0.9996280507673743,0.9943557330292222,0.9995286465507046,4520,4519,591,590,282,281,92,91,4300,143876.1870487951,4300,143876.1870487951,190,607071.5119952528,190,607071.5119952528,61,1195215.0236006747,60,1184411.1471361,17,2172130.0,17,2172130.0,14,1432993004.1275513,14,1432993004.1275513,0.9799214316892186,0.9801353416284654,5495,5494,7109,7108
2026-07-12,927,0,0,0.0,0.0,37595171.54195063,31,14435998.0,14,4315823.517982636,0,0.0,882,18843350.023967993,278,274,297,3,20,0,4565,1447231471.3322132,317027.704563464,20.0,0.9996281012163121,0.9943908242562656,0.9995296861794464,277,274,296,3,20,0,4564,1447221312.1557488,317094.9413137048,20.0,0.9996285227240795,0.9943978046619389,0.9995344091765037,4503,4502,588,587,282,281,92,91,4283,141960.41020960567,4283,141960.41020960567,190,605053.9769952528,190,605053.9769952528,61,1194741.277361215,60,1184582.1008966404,17,2172130.0,17,2172130.0,14,1443117585.6676474,14,1443117585.6676474,0.9798466593647317,0.9800613496932515,5498,5497,7125,7124
2026-07-13,1276,0,0,0.0,0.0,90647257.95536557,60,40052816.0,14,4598069.0,0,0.0,1202,45996372.95536556,338,353,385,43,38,1,4571,1482686218.3322139,324368.01976202446,30.0,0.9996392913255022,0.9953640548318508,0.9995491021926074,337,353,384,43,38,1,4570,1482676539.1557493,324436.87946515303,27.050771616899,0.9996396842787864,0.995370552745643,0.9995530164891699,4507,4506,609,608,284,283,87,87,4287,152741.41259860568,4287,152741.41259860568,197,616689.1534598275,196,607009.9769952528,59,1134061.4437000223,59,1134061.4437000223,15,1970160.0,15,1970160.0,13,1478812566.3224552,13,1478812566.3224552,0.98096696565303,0.9809628008752735,5541,5540,7199,7198
2026-07-14,1330,0,0,0.0,0.0,90077581.96316981,76,39860178.0,15,4390850.0,0,0.0,1239,45826553.963169806,347,368,386,26,20,0,4577,1518155546.3322136,331692.2757990417,30.0,0.9996499161925134,0.9963324522778636,0.9995717832804645,346,368,385,26,20,0,4576,1518155546.3321989,331764.7609991693,30.0,0.9996498396882042,0.9963324522778734,0.9995717832804742,4513,4513,625,625,283,283,84,84,4294,161588.41261332942,4293,161588.41259860568,199,598990.5998784385,199,598990.5998784385,59,1139008.9033074284,59,1139008.9033074284,13,1668320.0,13,1668320.0,12,1514587638.4164143,12,1514587638.4164143,0.9816473672711383,0.9816433566433567,5567,5566,7253,7252
2026-07-15,8600,0,0,0.0,0.0,164576473.0632523,133,62291664.0,30,10859897.0,0,0.0,8437,91424912.0632523,664,709,758,88,49,2,4618,1569587313.3322132,339884.649920358,30.0,0.9996538635807304,0.9960764374387404,0.9995870397703558,663,708,757,88,49,2,4617,1569587313.3320186,339958.26582889725,30.0,0.999653788610993,0.996076437438864,0.9995870397704797,4553,4553,630,630,281,281,85,85,4337,163571.78731462354,4336,163571.78711997662,196,590054.7747426528,196,590054.7747426528,60,1284599.078454509,60,1284599.078454509,13,2120148.378706587,13,2120148.378706587,12,1565428939.312995,12,1565428939.312995,0.9815937635339974,0.9815897769114144,5655,5654,7404,7403
2026-07-16,9694,0,0,0.0,0.0,136784117.83782145,111,64023798.741429724,14,3631337.0,0,0.0,9569,69128982.09639172,645,648,676,18,24,0,4612,1629979775.073643,353421.4603368697,30.0,0.9996572808327219,0.9960071264700663,0.9996024205994224,644,647,675,18,24,0,4611,1629279775.073448,353346.2969146493,30.0,0.999660402489406,0.996435048671882,0.9996053370380182,4548,4547,627,626,281,280,85,84,4331,162553.78711997662,4331,162553.78711997662,196,590942.0195043215,196,590942.0195043215,60,1291302.8165883264,60,1291302.8165883264,13,2463504.475006304,12,1763504.4748116573,12,1625471471.975424,12,1625471471.975424,0.9815698178664354,0.9817826935588809,5673,5672,7446,7445
2026-07-17,10029,1,0,1070000000.0,0.0,109275199.25385982,73,48303177.0,23,6060622.0,0,0.0,9932,54911400.25385981,596,596,617,6,19,0,4599,1672222330.0736432,363605.6381982264,24.101543233797997,0.9996608599500529,0.9961092324053634,0.9996213788220124,596,596,617,6,19,0,4598,1671522330.0734484,363532.4771799583,22.550771616899,0.9996639115792139,0.9965263829574874,0.9996242294959699,4535,4534,619,618,278,277,85,84,4321,160708.80146197663,4321,160708.80146197663,193,572815.4117043214,193,572815.4117043214,60,1298712.5408040253,60,1298712.5408040253,13,2473991.698907857,12,1773991.69871321,12,1667716101.620765,12,1667716101.620765,0.9815177212437486,0.9817311874728143,5679,5678,7459,7458
2026-07-18,10552,0,0,0.0,0.0,39280519.49985846,26,15213000.0,18,4066428.0,0,0.0,10508,20001091.49985846,578,584,592,5,7,0,4597,1683368902.0736432,366188.57995946123,23.0,0.9996617405404433,0.9961418277610457,0.9996249563671445,577,584,591,5,7,0,4596,1682848123.0734484,366154.9440977912,22.0,0.9996642459344491,0.9964500966642229,0.9996278292854346,4533,4532,619,618,278,277,85,84,4319,160456.80146197663,4319,160456.80146197663,193,571295.4117043214,193,571295.4117043214,60,1298883.1535240216,60,1298883.1535240216,13,2464091.799209157,12,1943312.7990145101,12,1678874174.9077437,12,1678874174.9077437,0.9815096802262345,0.9817232375979112,5684,5683,7474,7473
2026-07-19,9992,0,0,0.0,0.0,10703790.267193338,16,3868863.0,7,476190.0,0,0.0,9969,6358737.267193338,565,573,584,6,8,0,4595,1686761575.0736432,367086.305783165,27.0,0.9996617518181653,0.9961223012930838,0.9996250603431885,565,573,584,6,8,0,4594,1686240796.0734487,367052.85069078114,25.550771616899,0.9996642534715046,0.9964299439366178,0.9996279275133527,4530,4529,619,618,279,278,85,84,4316,159984.64857343768,4316,159984.64857343768,194,572893.5822043214,194,572893.5822043214,60,1298951.3336558002,60,1298951.3336558002,13,2508923.614105544,12,1988144.613910897,12,1682220821.8951042,12,1682220821.8951042,0.9815016322089227,0.9817152808010449,5690,5689,7492,7491
2026-07-20,9859,0,0,0.0,0.0,45004557.23033903,31,16584115.0,14,3131753.0,0,0.0,9814,25288689.230339028,613,591,638,17,46,0,4566,1700213937.0736434,372363.9809622522,20.0,0.9996582809568977,0.9956167873106783,0.9996330854283343,613,591,638,17,46,0,4565,1699693158.0734487,372331.4694574915,20.0,0.9996608917908266,0.9959218402036725,0.9996359323648966,4501,4500,612,611,277,276,85,84,4289,158928.96646048327,4289,158928.96646048327,192,565228.7266974831,192,565228.7266974831,60,1333738.2874286282,60,1333738.2874286282,12,2394503.322955891,11,1873724.3227612441,13,1695761537.7701006,13,1695761537.7701006,0.9813841436706089,0.9815991237677985,5707,5706,7537,7536
2026-07-21,12862,0,0,0.0,0.0,113021003.46111788,80,41829263.0,18,3093821.5570730804,0,0.0,12764,68097918.90404479,1303,2028,2064,689,35,2,5222,1738949378.51657,333004.4769277231,30.0,0.999692018386458,0.9958350270264213,0.9996396395965844,1303,2028,2064,689,35,2,5221,1738428599.5163753,332968.51168672193,30.0,0.9996942092774025,0.9961333481480815,0.9996424135568558,5157,5156,669,668,274,273,82,81,4948,181920.09416533992,4948,181920.09416533992,192,560102.8300926265,192,560102.8300926265,58,1224243.6831627556,58,1224243.6831627556,11,2276410.556521752,10,1755631.5563271048,13,1734706701.3526273,13,1734706701.3526273,0.9842972041363462,0.9844857307029304,6396,6395,8650,8649
