date,transfers,mint_count,burn_count,mint_volume,burn_volume,p2p_volume,issuance_count,issuance_volume,redemption_count,redemption_volume,internal_count,internal_volume,transfer_count,transfer_volume,unique_senders,unique_receivers,active_addresses,new_addresses,zeroed_addresses,resurrected_addresses,holders_gt0,circulating_supply,mean_balance,median_balance,gini,top10_share,top100_share,unique_senders_ex_hub,unique_receivers_ex_hub,active_addresses_ex_hub,new_addresses_ex_hub,zeroed_addresses_ex_hub,resurrected_addresses_ex_hub,holders_gt0_ex_hub,circulating_supply_ex_hub,mean_balance_ex_hub,median_balance_ex_hub,gini_ex_hub,top10_share_ex_hub,top100_share_ex_hub,holders_ge1,holders_ge1_ex_hub,holders_ge100,holders_ge100_ex_hub,holders_ge1000,holders_ge1000_ex_hub,holders_ge10000,holders_ge10000_ex_hub,n_lt_1k,val_lt_1k,n_lt_1k_ex_hub,val_lt_1k_ex_hub,n_1k_10k,val_1k_10k,n_1k_10k_ex_hub,val_1k_10k_ex_hub,n_10k_100k,val_10k_100k,n_10k_100k_ex_hub,val_10k_100k_ex_hub,n_100k_1m,val_100k_1m,n_100k_1m_ex_hub,val_100k_1m_ex_hub,n_ge_1m,val_ge_1m,n_ge_1m_ex_hub,val_ge_1m_ex_hub,share_holders_lt10k,share_holders_lt10k_ex_hub
2026-01-18,459,0,0,0.0,0.0,110042318.26706508,13,379000.0,6,1045195.0,0,0.0,440,108618123.26706508,185,66,204,10,145,2,48426,84323153.09613,1741.2785093984637,200.0,0.8820209508882538,0.3066347315131139,0.6684411833682044,176,56,194,10,144,2,48422,83557750.50244677,1725.615433118144,200.0,0.8809763554572109,0.30944355555878544,0.6672702777573897,48351,48349,46754,46752,1766,1764,636,634,46660,10810406.74888152,46658,10810406.74888152,1130,3694954.21840535,1130,3694954.21840535,563,16152723.88792773,562,16096786.148609564,51,15808660.830944382,50,15099195.976579309,22,37856407.40997103,22,37856407.40997103,0.9868665592863338,0.986906777910867
2026-01-19,329,0,0,0.0,0.0,3940482.623743769,18,1199000.0,1,29931.0,0,0.0,310,2711551.623743769,255,63,283,15,216,2,48227,85492222.09613001,1772.7045450915466,200.0,0.884015511243083,0.30941754807440086,0.6719619213952425,249,56,276,15,216,1,48222,83849566.82261027,1738.8239148647976,200.0,0.8818095094856734,0.31547919378497724,0.668595747373053,48152,48149,46553,46550,1776,1773,638,635,46451,10769039.49410126,46449,10769039.494101262,1138,3728009.014971392,1138,3728009.014971392,564,16147655.762993012,563,16091054.516867733,52,16394724.083647668,50,14808670.056253219,22,38452793.74041666,22,38452793.74041666,0.9867708959711365,0.9868317365517814
2026-01-20,248,0,0,0.0,0.0,23258119.505510923,18,1468000.0,2,379033.0,0,0.0,228,21411086.505510923,159,68,187,7,117,2,48119,86581189.09613,1799.3139736098008,200.0,0.8856735025725574,0.327937542048863,0.6761510986407835,151,59,178,7,117,2,48114,83672803.94765978,1739.0531643110066,200.0,0.8817694244633555,0.32571099277276044,0.6679880240608573,48045,48042,46449,46446,1786,1783,640,637,46333,10744376.117376542,46331,10744376.117376542,1146,3752647.2760748044,1146,3752647.2760748044,568,16342199.573704941,567,16283349.577579662,50,15348743.78912102,49,14639278.93475595,22,40393222.33985268,21,38253152.04187281,0.9866996404746565,0.9867606102174004
2026-01-21,11039,0,0,0.0,0.0,7717331.2994297575,16,425700.0,11,1053079.0,0,0.0,11012,6238552.2994297575,333,10688,10971,108,283,16,47960,85953810.09613,1792.1978752320683,200.0,0.8851619424036521,0.3336780641232683,0.6729809607807467,322,10677,10959,108,282,16,47956,85285127.03958037,1778.4036833676782,200.0,0.8842961384751169,0.3362942866179356,0.6722828495088613,47884,47882,46285,46283,1788,1786,641,639,46172,10787868.498935305,46170,10787868.498935306,1147,3754823.899643495,1147,3754823.899643495,569,16365839.99629179,568,16306706.414107246,51,15364376.744363721,50,14754827.26999865,21,39680900.95689569,21,39680900.95689569,0.9866346955796497,0.9866752856785387
2026-01-22,318,0,0,0.0,0.0,32796087.989853665,19,3665614.0,4,1022571.0,0,0.0,295,28107902.989853665,228,55,250,6,193,2,47775,88596853.09613,1854.460556695552,200.0,0.8888936049140448,0.3281155961058665,0.6800297330437229,220,47,241,6,193,2,47771,87927544.23958038,1840.605058290184,200.0,0.8880824612793221,0.33061322840465257,0.6794138810738979,47697,47695,46099,46097,1795,1793,641,639,45980,10748513.026679005,45978,10748513.026679005,1154,3781023.0234539965,1154,3781023.0234539965,566,16318822.686521769,565,16258814.104337223,53,16678485.092734654,52,16069184.81836958,22,41070009.26674058,22,41070009.26674058,0.9865829408686552,0.9866236838249147
2026-01-23,418,0,0,0.0,0.0,67731264.47750616,20,121000.0,2,1005000.0,0,0.0,396,66605264.47750617,213,74,239,15,167,2,47625,87712853.09612998,1841.739697556535,200.0,0.8880368024446489,0.3154010864627179,0.6765102271225801,205,65,230,15,167,1,47620,86042781.04355659,1806.862264669395,200.0,0.8859306581047259,0.3215229543691728,0.6732620818699749,47547,47544,45950,45947,1805,1802,644,641,45820,10715420.90355396,45818,10715420.90355396,1161,3800483.8449680824,1161,3800483.8449680824,568,16258306.177975554,567,16197534.39976721,54,17273913.00636824,53,16664612.732003165,22,39664729.16326416,21,38664729.16326416,0.9864776902887139,0.9865392692146157
2026-01-24,375,0,0,0.0,0.0,102455618.35501903,12,573000.0,3,1510300.0,0,0.0,360,100372318.35501903,204,50,222,6,165,2,47468,86775553.09613,1828.0853015953905,200.0,0.8872230892661784,0.33657748666211934,0.6770867164594174,198,43,215,6,164,2,47464,86105480.16855657,1814.1218643299462,200.0,0.886380418078078,0.3391967329795605,0.6764409643430923,47388,47386,45790,45788,1807,1805,644,642,45661,10682864.780934315,45659,10682864.780934317,1163,3820486.6006685435,1163,3820486.6006685435,571,16217627.399718642,570,16156854.7465103,53,16847876.749997772,52,16238576.475632701,20,39206697.56481072,20,39206697.56481072,0.9864329653661414,0.9864739592111916
2026-01-25,212,0,0,0.0,0.0,21517170.190956652,18,685820.0,3,1010000.0,0,0.0,191,19821350.190956652,121,63,142,11,79,1,47401,86451373.09613,1823.8301532906478,200.0,0.8869067874618507,0.32878976906453206,0.675136972626536,113,54,133,11,79,1,47397,85779908.91855659,1809.8172651973034,200.0,0.8860569324004053,0.3313634550786904,0.6744844890438811,47322,47320,45724,45722,1811,1809,645,643,45590,10669113.390329253,45588,10669113.390329253,1166,3821225.9545537247,1166,3821225.9545537247,572,16294515.439718643,571,16232351.5365103,52,16242191.315940097,51,15632891.041575026,21,39424326.99558828,21,39424326.99558828,0.9863926921372966,0.9864337405321012
2026-01-26,395,0,0,0.0,0.0,66090161.320738085,32,1994500.0,11,3057947.0,0,0.0,352,61037714.320738085,113,92,143,13,47,6,47373,85387926.09613,1802.4597575861778,200.0,0.885511368822129,0.3116947394635564,0.6680018957654192,102,80,131,13,47,5,47368,80315801.45060448,1695.570880142807,200.0,0.8783597658871402,0.2890460775908988,0.6503078508834849,47290,47287,45692,45689,1819,1816,647,644,45554,10661806.083055772,45552,10661806.083055772,1172,3837199.6698284056,1172,3837199.6698284056,572,16349623.835553471,571,16286799.464393038,53,15924329.129825708,52,15315028.855460636,22,38614967.37786664,21,34214967.37786664,0.986342431342748,0.9864043235939876
2026-01-27,381,0,0,0.0,0.0,39090793.3978273,21,825600.0,6,1241539.0,0,0.0,354,37023654.3978273,209,63,233,12,168,0,47217,84971987.09612998,1799.6058007948404,200.0,0.8852914727487601,0.31415790458429016,0.6674369782681742,204,57,227,12,168,0,47212,79448392.16822307,1682.8008169156797,200.0,0.8773959732022842,0.28752298200993315,0.6476249782272664,47134,47131,45534,45531,1823,1820,648,645,45394,10629312.874035098,45392,10629312.874035098,1175,3841672.6378946016,1175,3841672.6378946016,574,16387555.279317016,573,16324643.408156583,52,15418824.890399743,51,14809524.616034672,22,38694621.41448353,21,33843238.63210212,0.986276129360188,0.9863382190968398
