date,transfers,mint_count,burn_count,mint_volume,burn_volume,p2p_volume,issuance_count,issuance_volume,redemption_count,redemption_volume,internal_count,internal_volume,transfer_count,transfer_volume,unique_senders,unique_receivers,active_addresses,new_addresses,zeroed_addresses,resurrected_addresses,holders_gt0,circulating_supply,mean_balance,median_balance,gini,top10_share,top100_share,unique_senders_ex_hub,unique_receivers_ex_hub,active_addresses_ex_hub,new_addresses_ex_hub,zeroed_addresses_ex_hub,resurrected_addresses_ex_hub,holders_gt0_ex_hub,circulating_supply_ex_hub,mean_balance_ex_hub,median_balance_ex_hub,gini_ex_hub,top10_share_ex_hub,top100_share_ex_hub,holders_ge1,holders_ge1_ex_hub,holders_ge100,holders_ge100_ex_hub,holders_ge1000,holders_ge1000_ex_hub,holders_ge10000,holders_ge10000_ex_hub,n_lt_1k,val_lt_1k,n_lt_1k_ex_hub,val_lt_1k_ex_hub,n_1k_10k,val_1k_10k,n_1k_10k_ex_hub,val_1k_10k_ex_hub,n_10k_100k,val_10k_100k,n_10k_100k_ex_hub,val_10k_100k_ex_hub,n_100k_1m,val_100k_1m,n_100k_1m_ex_hub,val_100k_1m_ex_hub,n_ge_1m,val_ge_1m,n_ge_1m_ex_hub,val_ge_1m_ex_hub,share_holders_lt10k,share_holders_lt10k_ex_hub
2026-01-27,1409,0,0,0.0,0.0,109819696.65328316,104,11942481.0,25,6187701.0,0,0.0,1280,91689514.65328316,366,386,464,50,31,12,34992,206028479.10757673,5887.873774222015,200.0,0.968524750617708,0.4663085077967019,0.8087126563911661,333,350,428,50,31,12,34960,174463601.30701607,4990.377611756753,200.0,0.9631244859109676,0.4276717674458725,0.7832811852144713,32815,32792,28631,28610,2493,2474,910,894,32499,7105786.462948517,32486,7104613.090028186,1583,4947390.812968433,1580,4930449.489306846,758,20091034.648225244,749,19823352.13700545,119,38265543.00852149,115,37440375.21436699,33,135618724.17491305,30,105164811.3763086,0.9739940557841792,0.9744279176201373
2026-01-28,1585,0,0,0.0,0.0,162717925.48626906,94,12301356.0,30,6913662.0,0,0.0,1461,143502907.48626906,348,380,475,73,44,17,35038,211416173.10757673,6033.910985432294,200.0,0.9692435313691399,0.44578382712024867,0.8116128331192675,313,343,437,73,44,17,35006,180675618.55758154,5161.275740089743,200.0,0.9643464937145173,0.4249652298965256,0.789673404539246,32850,32827,28637,28615,2500,2479,910,893,32538,7111948.022367496,32527,7111717.539490614,1590,4964640.382240406,1586,4947159.490714593,756,19963112.42688966,747,19665542.662270337,117,38089562.29359171,113,37286131.07248545,37,141286909.98248747,33,111665067.79262058,0.9740281979565044,0.9744900874135862
2026-01-29,1921,0,0,0.0,0.0,96402077.18181819,103,11428082.0,43,12435036.095474806,0,0.0,1775,72538959.08634338,457,604,721,160,38,8,35168,210409219.01210192,5982.973698023826,200.0,0.9689570152793292,0.4509585723975667,0.8107454614485884,419,564,680,160,38,8,35136,178648321.15572515,5084.480907209846,200.0,0.9637678081107786,0.41859254704013826,0.787262580242674,32972,32949,28734,28712,2537,2516,912,895,32631,7142146.764872634,32620,7141905.858298521,1625,5096947.78549376,1621,5079984.603870107,760,20022818.1719288,751,19739862.427715473,116,38544670.23109745,112,37662554.27826993,36,139602636.05870932,32,109024013.98757112,0.9740673339399454,0.9745275500910747
2026-01-30,1938,0,0,0.0,0.0,115225461.54038028,129,13247837.394033607,26,7718054.0,0,0.0,1783,94259570.14634667,544,511,718,107,157,12,35130,215939002.40613553,6146.854608771293,200.0,0.9696484872958296,0.45961890472553896,0.8108434963648059,504,466,672,107,157,12,35098,179149107.10993642,5104.2540062093685,200.0,0.9637558120126505,0.41482153974981034,0.782253245692534,32941,32918,28674,28651,2553,2533,927,911,32577,7136838.476663384,32565,7136243.498413803,1626,5112736.2251055725,1622,5092906.62949439,770,20221142.371634442,762,19928627.362142116,121,40093703.503426984,117,38743728.51488198,36,143374581.82930514,32,108247601.1050041,0.9736122971818958,0.9740441050772124
2026-01-31,1527,0,0,0.0,0.0,108936560.09059933,96,10485053.0,35,13701619.0,0,0.0,1396,84749888.09059933,448,449,630,125,141,5,35119,212722436.40613556,6057.189453177356,200.0,0.9691994438114062,0.43150657914821666,0.8052160009305018,415,409,589,125,141,5,35087,180858696.77562982,5154.578526965252,200.0,0.964130264554809,0.3943128515662122,0.7823763994704521,32920,32897,28600,28577,2557,2537,931,914,32562,7130134.23980132,32550,7129481.252530817,1626,5119123.360682278,1623,5107686.120021969,769,20072755.61327186,761,19752595.720559865,124,40124541.50134908,119,38333367.2700258,38,140275881.691031,34,110535566.41249134,0.9734901335459438,0.9739504659845527
2026-02-01,2512,0,0,0.0,0.0,106349164.18741068,104,10788178.0,17,6081779.601666087,0,0.0,2391,89479206.58574459,1069,476,1233,122,718,10,34533,217428834.8044695,6296.26255478729,200.0,0.9703056844762037,0.446093618438444,0.8091879402262818,1031,436,1192,122,718,10,34501,181142129.8621725,5250.344333850396,200.0,0.9647041272235967,0.39369587025618846,0.7821535087930485,32334,32311,27953,27931,2569,2549,931,915,31964,7006803.350648708,31952,7006450.535120616,1638,5131499.1809306275,1634,5118833.353645224,765,19650972.38274727,758,19394183.105203126,128,40641608.89119948,122,37880830.444448695,38,144997950.9989434,35,111741832.42375487,0.9730402803115861,0.9734790295933451
2026-02-02,2270,0,0,0.0,0.0,153452553.39326033,118,11013000.0,21,6366493.0,0,0.0,2131,136073060.39326033,671,568,887,129,264,14,34412,222075341.80446947,6453.427345242051,200.0,0.9708778246265943,0.4354095047112829,0.806874944489336,633,522,841,129,264,14,34380,183016769.66236803,5323.349902919373,200.0,0.9650555597593146,0.3896632455468987,0.7781363151965011,32219,32196,27777,27754,2595,2575,933,917,31817,6973717.13843169,31805,6972663.249557804,1662,5266129.280673601,1658,5241569.060944253,763,19851604.22419583,756,19554220.946651686,130,41491058.29760076,126,39878831.96600214,40,148492832.8635676,35,111369484.43921213,0.9728873648727189,0.9733275159976731
2026-02-03,2315,0,0,0.0,0.0,118191422.58655336,141,16194174.0,34,10612497.0,0,0.0,2140,91384751.58655336,463,488,621,96,87,11,34432,227657018.8044694,6611.786094460659,200.0,0.9715063001068164,0.4359522901192134,0.8093058358198403,420,444,576,96,87,11,34400,183516009.42108297,5334.767715729156,200.0,0.9650200983907069,0.3777049679469783,0.7755259283695891,32232,32209,27777,27755,2611,2596,932,921,31821,6981624.644390086,31804,6977825.669343434,1679,5323805.124342984,1675,5296966.059933601,759,19742893.539636374,757,19592681.99431506,129,40420014.52731339,126,39759531.632736236,44,155188680.96878666,38,111889004.06475466,0.972932156133829,0.9732267441860465
2026-02-04,2076,0,0,0.0,0.0,123096169.60306042,136,15603371.601666087,31,10062324.259897722,0,0.0,1909,97430473.74149662,527,424,660,69,194,20,34327,233198066.14623785,6793.4298408319355,200.0,0.9721532674088617,0.45207465058085683,0.8105606605393842,489,380,615,69,194,20,34295,184796424.87394103,5388.436357309842,200.0,0.9652312715964364,0.3750873101042196,0.7740311807056546,32123,32100,27663,27641,2632,2612,938,927,31695,6960459.984257397,31683,6959447.9142105635,1694,5409983.737460609,1685,5352922.118125132,759,19456851.589674495,757,19300961.249014147,136,42154637.09945321,132,40531193.208383024,43,159216133.73539212,38,112651900.38420814,0.9726745710373759,0.9729698206735675
2026-02-05,1580,0,0,0.0,0.0,103304868.66597345,130,11176606.0,30,10751066.0,0,0.0,1420,81377196.66597345,498,397,648,91,216,17,34219,233623606.14623785,6827.3066467821345,200.0,0.9721636671857559,0.43161259316483075,0.8104915785581875,468,361,611,90,215,17,34187,187136033.53060797,5473.894566080907,200.0,0.9655851237362983,0.34932465511034644,0.7743333778321357,32008,31985,27542,27520,2668,2650,953,938,31551,6933677.09809673,31537,6932072.983101854,1715,5477054.413783365,1712,5459688.027272044,773,19835096.659929767,766,19618787.86578858,138,40901902.39157461,134,39481590.46980859,42,160475875.58285335,38,115643894.18463692,0.9721499751599988,0.9725626700207681
