date,transfers,mint_count,burn_count,mint_volume,burn_volume,p2p_volume,issuance_count,issuance_volume,redemption_count,redemption_volume,internal_count,internal_volume,transfer_count,transfer_volume,unique_senders,unique_receivers,active_addresses,new_addresses,zeroed_addresses,resurrected_addresses,holders_gt0,circulating_supply,mean_balance,median_balance,gini,top10_share,top100_share,unique_senders_ex_hub,unique_receivers_ex_hub,active_addresses_ex_hub,new_addresses_ex_hub,zeroed_addresses_ex_hub,resurrected_addresses_ex_hub,holders_gt0_ex_hub,circulating_supply_ex_hub,mean_balance_ex_hub,median_balance_ex_hub,gini_ex_hub,top10_share_ex_hub,top100_share_ex_hub,holders_ge1,holders_ge1_ex_hub,holders_ge100,holders_ge100_ex_hub,holders_ge1000,holders_ge1000_ex_hub,holders_ge10000,holders_ge10000_ex_hub,n_lt_1k,val_lt_1k,n_lt_1k_ex_hub,val_lt_1k_ex_hub,n_1k_10k,val_1k_10k,n_1k_10k_ex_hub,val_1k_10k_ex_hub,n_10k_100k,val_10k_100k,n_10k_100k_ex_hub,val_10k_100k_ex_hub,n_100k_1m,val_100k_1m,n_100k_1m_ex_hub,val_100k_1m_ex_hub,n_ge_1m,val_ge_1m,n_ge_1m_ex_hub,val_ge_1m_ex_hub,share_holders_lt10k,share_holders_lt10k_ex_hub
2025-11-05,78,0,0,0.0,0.0,11034062.959377162,0,0.0,2,78271.0,0,0.0,76,10955791.959377162,27,36,36,8,3,0,193,30380463.0,157411.72538860104,633.9093799851277,0.934692020204383,0.7232265751234356,0.9996734765690493,24,33,33,8,2,0,191,30380463.0,159060.01570680627,742.9715643939688,0.9340081670128059,0.7232265751234356,0.9996734765690493,155,155,132,132,92,92,40,40,101,15657.73946950015,99,15657.73946950015,52,177687.10519580994,52,177687.10519580994,20,789835.2700929041,20,789835.2700929041,4,1425324.6790875308,4,1425324.6790875308,16,27971958.206154257,16,27971958.206154257,0.7927461139896373,0.7905759162303665
2025-11-06,27,0,0,0.0,0.0,1386680.6640788629,1,1000000.0,0,0.0,0,0.0,26,386680.6640788629,14,21,23,6,2,0,197,31380462.999999993,159291.69035532992,633.9093799851277,0.9320873750998452,0.700974785689368,0.9996117210868266,12,18,20,4,2,0,193,30380463.0,157411.72538860104,742.9715643939688,0.9348392534464885,0.7240479951295719,0.999619004770924,159,158,136,135,94,93,41,40,103,16709.136234599064,100,16709.136234599064,53,178191.3445036643,53,178191.3445036643,20,768531.9679489611,20,768531.9679489611,5,2420117.2250546357,5,2420117.2250546357,16,27996913.326258138,15,26996913.32625814,0.7918781725888325,0.7927461139896373
2025-11-07,88,0,0,0.0,0.0,27549595.884502426,2,2000000.0,7,2140500.0,0,0.0,79,23409095.884502426,35,46,56,17,3,0,211,31239963.0,148056.69668246445,610.4045388156732,0.9447583715881193,0.7553000966923836,0.9994413400280703,29,41,50,17,1,0,209,31239963.000000007,149473.50717703352,633.9093799851277,0.9442297435650391,0.7553000966923834,0.9994413400280701,173,173,145,145,99,99,43,43,112,18444.851104562404,110,18444.851104562407,56,180678.72534186562,56,180678.72534186562,22,768214.3414892941,22,768214.3414892941,9,4677078.007497792,9,4677078.007497792,12,25595547.074566487,12,25595547.074566487,0.7962085308056872,0.7942583732057417
2025-11-08,25,0,0,0.0,0.0,1063501.2866064715,0,0.0,0,0.0,0,0.0,25,1063501.2866064715,16,21,23,4,2,0,213,31239963.000000004,146666.4929577465,742.9715643939688,0.9398172145187258,0.7229619917280704,0.9993827112941881,15,20,22,4,2,0,211,31239963.000000004,148056.69668246448,745.1444309842583,0.9392467615757754,0.7229619917280704,0.9993827112941881,175,175,145,145,101,101,44,44,112,18284.07632988146,110,18284.07632988146,57,185941.29705014,57,185941.29705014,22,768579.3300043878,22,768579.3300043878,9,4681852.424624364,9,4681852.424624364,13,25585305.87199123,13,25585305.87199123,0.7934272300469484,0.7914691943127962
2025-11-09,39,0,0,0.0,0.0,238180.0140782406,0,0.0,0,0.0,0,0.0,39,238180.0140782406,17,20,25,4,1,1,217,31239962.999999996,143962.96313364053,610.4045388156732,0.9414928868717574,0.7275251520898816,0.9993644486971746,14,16,21,4,1,0,214,31239948.999999996,145981.07009345794,688.4404721895482,0.9406733664394294,0.7275254781260133,0.9993648965564935,177,176,146,146,101,101,45,45,116,18854.599184866252,113,18840.599184866252,56,181033.5221724722,56,181033.5221724722,23,784003.5009762404,23,784003.5009762404,9,4528212.5448091505,9,4528212.5448091505,13,25727858.83285727,13,25727858.83285727,0.7926267281105991,0.7897196261682243
2025-11-10,43,0,0,0.0,0.0,3223174.445633211,1,1000000.0,1,30000.0,0,0.0,41,2193174.445633211,18,26,29,9,1,0,225,32209962.999999996,143155.3911111111,633.9093799851277,0.9405263579943215,0.7144355707605856,0.9991855983023046,17,25,28,9,1,0,222,32209949.0,145089.86036036036,744.0579976891136,0.9397233267527053,0.7144358812888012,0.9991860325966393,186,185,154,154,106,106,48,48,119,19972.798420209332,116,19958.798420209336,58,190482.94877934502,58,190482.94877934502,24,792228.0139281636,24,792228.0139281636,11,5195335.93878994,11,5195335.93878994,13,26011943.30008234,13,26011943.30008234,0.7866666666666666,0.7837837837837838
2025-11-11,44,0,0,0.0,0.0,10702433.96802074,2,2000000.0,0,0.0,0,0.0,42,8702433.96802074,21,23,28,4,3,0,226,34209963.0,151371.51769911504,622.1569594004004,0.9423409270017382,0.7184004349725331,0.9992241608675991,18,20,25,4,3,0,223,34209949.0,153407.84304932735,742.9715643939688,0.9415658736511224,0.718400728969057,0.9992245697877719,187,186,155,155,106,106,47,47,120,20282.37788368898,117,20268.377883688987,59,200276.01575692423,59,200276.01575692423,24,827995.4419071709,24,827995.4419071709,9,4584956.86485795,9,4584956.86485795,14,28576452.29959427,14,28576452.29959427,0.7920353982300885,0.7892376681614349
2025-11-12,32,0,0,0.0,0.0,4585378.130751248,0,0.0,0,0.0,0,0.0,32,4585378.130751248,16,15,22,4,2,1,229,34209963.0,149388.4847161572,610.4045388156732,0.9479371435190171,0.7545278570812155,0.9991900037105594,14,12,19,4,2,0,225,34008638.30904887,151149.50359577275,633.9093799851277,0.9481204976463615,0.7589945189410783,0.99921973696567,190,188,156,155,107,106,46,45,122,20290.633190750064,119,20276.63319075007,61,218429.46726091814,61,218429.46726091814,23,817995.4419071708,23,817995.4419071708,12,6340877.38442349,11,6139566.69347236,11,26812370.07321767,11,26812370.07321767,0.7991266375545851,0.8
2025-11-13,45,0,0,0.0,0.0,1379832.102974334,0,0.0,0,0.0,0,0.0,45,1379832.102974334,18,24,28,8,2,0,235,34209963.0,145574.31063829787,633.9093799851277,0.9480852613264819,0.7576637473046285,0.9990386157291336,17,22,26,8,2,0,231,34008630.45855037,147223.50847857303,742.9715643939688,0.9483420756608401,0.7621491489733316,0.9990702680114516,196,194,159,158,112,111,49,48,123,19402.2838611445,120,19380.43336264861,63,229881.2880028935,63,229881.2880028935,24,829517.7149885797,24,829517.7149885797,15,7211512.951414693,14,7010202.260463562,10,25919648.76173269,10,25919648.76173269,0.7914893617021277,0.7922077922077922
2025-11-14,39,0,0,0.0,0.0,1222463.5810903618,0,0.0,1,82613.0,0,0.0,38,1139850.5810903618,21,22,27,6,0,0,241,34127350.0,141607.26141078837,609.560608403219,0.950458325637448,0.7669942513378692,0.998988242260517,19,20,25,6,0,0,237,33926017.45855038,143147.75298966403,610.4045388156732,0.9507479908780875,0.7715459468644005,0.9990207856448556,199,197,161,160,113,112,50,49,128,19723.908802584854,125,19702.058304088965,63,233404.4113649703,63,233404.4113649703,25,849018.8421271574,25,849018.8421271574,15,6849721.574309858,14,6648410.883358728,10,26175481.263395432,10,26175481.263395432,0.7925311203319502,0.7932489451476793
